Timestamp,EC,EC_normal,EC_lower,EC_upper,EC_bias_up,EC_bias_low,EC_drift_up,EC_drift_low,EC_precision,EC_stuck,EC_spike,test_normal,test_bias_up,test_bias_low,test_drift_up,test_drift_low,test_precision,test_stuck,test_spike,serial_normal,serial_bias_up,serial_bias_low,serial_drift_up,serial_drift_low,serial_precision,serial_stuck,serial_spike,EC(t-1),EC(t-2),EC(t-3)
8/30/2023 21:53,1.736535948,1.736535948,1.684439869,1.788632026,2.236535948,1.236535948,1.752135948,1.720935948,1.754888103,2.093627451,1.736535948,1,1,1,0,0,0,1,0,0,1,1,0,0,0,4,0,1.718921569,1.726928105,1.731732026
8/30/2023 21:58,1.738137255,1.738137255,1.685993137,1.790281373,2.238137255,1.238137255,1.753937255,1.722337255,1.340623472,2.093627451,1.738137255,1,1,1,0,0,1,1,0,0,1,1,0,0,3,4,0,1.736535948,1.718921569,1.726928105
8/30/2023 22:03,1.720522876,1.720522876,1.66890719,1.772138562,2.220522876,1.220522876,1.736522876,1.704522876,1.676588498,2.093627451,2.220522876,1,1,1,0,0,0,1,1,0,1,1,0,0,0,4,5,1.738137255,1.736535948,1.718921569
8/30/2023 22:08,1.726928105,1.726928105,1.675120261,1.778735948,2.226928105,1.226928105,1.743128105,1.710728105,1.798350619,2.093627451,1.726928105,1,1,1,0,0,1,1,0,0,1,1,0,0,3,4,0,1.720522876,1.738137255,1.736535948
8/30/2023 22:13,1.730130719,1.730130719,1.678226797,1.782034641,2.230130719,1.230130719,1.746530719,1.713730719,2.025709528,2.093627451,1.730130719,1,1,1,0,0,1,1,0,0,1,1,0,0,3,4,0,1.726928105,1.720522876,1.738137255
8/30/2023 22:17,1.738137255,1.738137255,1.685993137,1.790281373,2.238137255,1.238137255,1.754737255,1.721537255,1.634483211,2.093627451,1.738137255,1,1,1,0,0,1,1,0,0,1,1,0,0,3,4,0,1.730130719,1.726928105,1.720522876
8/30/2023 22:22,1.733333333,1.733333333,1.681333333,1.785333333,2.233333333,1.233333333,1.750133333,1.716533333,1.571634613,2.093627451,1.733333333,1,1,1,0,0,1,1,0,0,1,1,0,0,3,4,0,1.738137255,1.730130719,1.726928105
8/30/2023 22:27,1.733333333,1.733333333,1.681333333,1.785333333,2.233333333,1.233333333,1.750333333,1.716333333,1.632981925,2.093627451,1.733333333,1,1,1,0,0,1,1,0,0,1,1,0,0,3,4,0,1.733333333,1.738137255,1.730130719
8/30/2023 22:32,1.738137255,1.738137255,1.685993137,1.790281373,2.238137255,1.238137255,1.755337255,1.720937255,1.921217678,2.093627451,1.738137255,1,1,1,0,0,1,1,0,0,1,1,0,0,3,4,0,1.733333333,1.733333333,1.738137255
8/30/2023 22:36,1.734934641,1.734934641,1.682886601,1.78698268,2.234934641,1.234934641,1.752334641,1.717534641,1.800684862,2.093627451,1.734934641,1,1,1,0,0,1,1,0,0,1,1,0,0,3,4,0,1.738137255,1.733333333,1.733333333
8/30/2023 22:41,1.717320261,1.717320261,1.665800654,1.768839869,2.217320261,1.217320261,1.734920261,1.699720261,1.611368221,2.093627451,2.217320261,1,1,1,0,0,1,1,1,0,1,1,0,0,3,4,5,1.734934641,1.738137255,1.733333333
8/30/2023 22:46,1.733333333,1.733333333,1.681333333,1.785333333,2.233333333,1.233333333,1.751133333,1.715533333,1.83598682,2.093627451,1.733333333,1,1,1,0,0,1,1,0,0,1,1,0,0,3,4,0,1.717320261,1.734934641,1.738137255
8/30/2023 22:51,1.72372549,1.72372549,1.672013725,1.775437255,2.22372549,1.22372549,1.74172549,1.70572549,1.743141,2.093627451,1.72372549,1,1,1,0,0,0,1,0,0,1,1,0,0,0,4,0,1.733333333,1.717320261,1.734934641
8/30/2023 22:56,1.730130719,1.730130719,1.678226797,1.782034641,2.230130719,1.230130719,1.748330719,1.711930719,1.923859717,2.093627451,1.730130719,1,1,1,0,0,1,1,0,0,1,1,0,0,3,4,0,1.72372549,1.733333333,1.717320261
8/30/2023 23:00,1.731732026,1.731732026,1.679780065,1.783683987,2.231732026,1.231732026,1.750132026,1.713332026,1.591321407,2.093627451,1.731732026,1,1,1,0,0,1,1,0,0,1,1,0,0,3,4,0,1.730130719,1.72372549,1.733333333
8/30/2023 23:05,1.726928105,1.726928105,1.675120261,1.778735948,2.226928105,1.226928105,1.745528105,1.708328105,1.661395675,2.093627451,1.726928105,1,1,1,0,0,1,1,0,0,1,1,0,0,3,4,0,1.731732026,1.730130719,1.72372549
8/30/2023 23:10,1.733333333,1.733333333,1.681333333,1.785333333,2.233333333,1.233333333,1.752133333,1.714533333,1.654911703,2.093627451,1.733333333,1,1,1,0,0,1,1,0,0,1,1,0,0,3,4,0,1.726928105,1.731732026,1.730130719
8/30/2023 23:15,1.731732026,1.731732026,1.679780065,1.783683987,2.231732026,1.231732026,1.750732026,1.712732026,1.439029037,2.093627451,1.731732026,1,1,1,0,0,1,1,0,0,1,1,0,0,3,4,0,1.733333333,1.726928105,1.731732026
8/30/2023 23:19,1.728529412,1.728529412,1.676673529,1.780385294,2.228529412,1.228529412,1.747729412,1.709329412,1.787753467,2.093627451,2.228529412,1,1,1,0,0,1,1,1,0,1,1,0,0,3,4,5,1.731732026,1.733333333,1.726928105
8/30/2023 23:24,1.738137255,1.738137255,1.685993137,1.790281373,2.238137255,1.238137255,1.757537255,1.718737255,1.790348309,2.093627451,1.738137255,1,1,1,0,0,1,1,0,0,1,1,0,0,3,4,0,1.728529412,1.731732026,1.733333333
8/30/2023 23:29,1.731732026,1.731732026,1.679780065,1.783683987,2.231732026,1.231732026,1.751332026,1.712132026,1.732754717,2.093627451,1.731732026,1,1,1,0,0,0,1,0,0,1,1,0,0,0,4,0,1.738137255,1.728529412,1.731732026
8/30/2023 23:34,1.733333333,1.733333333,1.681333333,1.785333333,2.233333333,1.233333333,1.753133333,1.713533333,1.686415907,2.093627451,1.733333333,1,1,1,0,0,0,1,0,0,1,1,0,0,0,4,0,1.731732026,1.738137255,1.728529412
8/30/2023 23:39,1.731732026,1.731732026,1.679780065,1.783683987,2.231732026,1.231732026,1.751732026,1.711732026,1.448657878,2.093627451,1.731732026,1,1,1,0,0,1,1,0,0,1,1,0,0,3,4,0,1.733333333,1.731732026,1.738137255
8/30/2023 23:43,1.741339869,1.741339869,1.689099673,1.793580065,2.241339869,1.241339869,1.761539869,1.721139869,1.657210805,2.093627451,1.741339869,1,1,1,0,0,1,1,0,0,1,1,0,0,3,4,0,1.731732026,1.733333333,1.731732026
8/30/2023 23:48,1.744542484,1.744542484,1.692206209,1.796878758,2.244542484,1.244542484,1.764942484,1.724142484,1.67599958,2.093627451,1.744542484,1,1,1,0,0,1,1,0,0,1,1,0,0,3,4,0,1.741339869,1.731732026,1.733333333
8/30/2023 23:53,1.749346405,1.749346405,1.696866013,1.801826797,2.249346405,1.249346405,1.769946405,1.728746405,1.588890951,2.093627451,1.749346405,1,1,1,0,0,1,1,0,0,1,1,0,0,3,4,0,1.744542484,1.741339869,1.731732026
8/30/2023 23:58,1.738137255,1.738137255,1.685993137,1.790281373,2.238137255,1.238137255,1.758937255,1.717337255,1.705880113,2.093627451,2.238137255,1,1,1,0,0,0,1,1,0,1,1,0,0,0,4,5,1.749346405,1.744542484,1.741339869
